City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lahan,NP,79.99,light rain,26.7296,86.4951,Bhattarai Residence
3,Sfantu Gheorghe,RO,70.27,scattered clouds,45.8667,25.7833,Hotel Park
5,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
7,Albanel,CA,76.5,scattered clouds,48.8832,-72.4487,Camping municipal d'Albanel
9,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
15,Ordubad,AZ,77.41,clear sky,38.9059,46.0234,Ordubad Oteli
20,Rikitea,PF,73.18,clear sky,-23.1203,-134.9692,People ThankYou
22,Kavieng,PG,81.68,light rain,-2.5744,150.7967,Nusa Island Retreat
24,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
25,Victoria,HK,87.19,few clouds,22.2855,114.1577,Mini Central
26,Nikolskoye,RU,73.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
33,Sao Filipe,CV,77.31,broken clouds,14.8961,-24.4956,Hotel Xaguate
34,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Iralaya,HN,82.72,broken clouds,15.0,-83.2333,Iglesia morava renovada
36,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,Hithadhoo,MV,80.46,light rain,-0.6,73.0833,Scoop Guest House
43,Toktogul,KG,76.46,clear sky,41.8708,72.9402,KAGAN
44,Atuona,PF,77.65,scattered clouds,-9.8,-139.0333,Villa Enata
48,Gushi,CN,72.46,clear sky,34.6425,109.5843,Wansheng Yuan Hotel
49,Tautira,PF,76.3,light rain,-17.7333,-149.15,Pension Oaoa
53,Praia Da Vitoria,PT,76.75,few clouds,38.7333,-27.0667,Hotel Branco I
54,Torbay,CA,71.28,scattered clouds,47.6666,-52.7314,Gallows Cove
57,Vaini,TO,74.46,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Xuddur,SO,79.21,overcast clouds,4.1213,43.8894,Banjanay Hotel
68,Peringat,MY,75.83,overcast clouds,6.0333,102.2833,Daseda Guest House
72,Lasa,IT,74.1,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
74,Asau,RO,79.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
76,Phanat Nikhom,TH,81.25,moderate rain,13.4458,101.1844,I-Destiny Gallery Resort
77,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
79,Kearney,US,82.31,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
81,Sur,OM,85.55,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
85,Jamestown,US,89.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
86,Kinkala,CG,72.77,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
89,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
93,Grand Gaube,MU,71.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,Lompoc,US,86.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
100,Sola,VU,80.58,overcast clouds,-13.8833,167.55,Leumerus Bungalows
105,Miracema,BR,82.24,few clouds,-21.4122,-42.1967,Novo Hotel Varandas
107,Touros,BR,80.47,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
109,Ishigaki,JP,85.39,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
110,Vanimo,PG,75.2,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
111,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
113,Lashio,MM,70.2,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
115,Oskaloosa,US,86.41,clear sky,41.2964,-92.6444,EverSpring Inn & Suites
122,Korla,CN,70.59,few clouds,41.7597,86.1469,Gulisitan Hotel
123,Sainte-Suzanne,RE,71.82,broken clouds,-20.9061,55.6089,Gites Ango
128,Caravelas,BR,76.78,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
129,Eureka,US,76.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
131,Saint Anthony,US,87.84,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
141,Guerrero Negro,MX,80.6,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
142,Mascote,BR,73.85,broken clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
143,Talara,PE,72.36,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
144,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
146,Cockburn Town,TC,82.04,clear sky,21.4612,-71.1419,Osprey Beach Hotel
148,Carballo,ES,74.62,scattered clouds,43.213,-8.691,Pazo do Souto
154,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
156,Naze,JP,81.03,overcast clouds,28.3667,129.4833,Shishime Hotel
159,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
163,Holme,DK,86.18,clear sky,56.1138,10.1725,Hotel Ritz Aarhus City
165,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
166,Sabang,ID,82.98,overcast clouds,5.8933,95.3214,Hotel Citra
168,Concepcion Del Oro,MX,80.19,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
169,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
170,Carnarvon,AU,70.88,clear sky,-24.8667,113.6333,Hospitality Carnarvon
173,Atbasar,KZ,70.11,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
174,Kerema,PG,75.87,overcast clouds,-7.9631,145.7785,Frena Lodge
176,North Battleford,CA,70.41,clear sky,52.7834,-108.2847,Tropical Inn
179,Isangel,VU,75.56,broken clouds,-19.55,169.2667,Tanna Lodge
183,Lorengau,PG,79.5,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
185,Port Blair,IN,78.67,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
186,Tabou,CI,76.19,overcast clouds,4.423,-7.3528,hotêl doufoulougou
189,Biskupiec,PL,75.02,scattered clouds,53.8647,20.9569,Hotelik Atelier
190,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
194,Pizarro,CO,80.37,moderate rain,4.9533,-77.366,Hotel Limonar
198,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
199,Orneta,PL,72.75,clear sky,54.1148,20.1333,Hotel Pruski
200,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
201,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
202,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
203,Port Moresby,PG,75.63,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
204,Ronneby,SE,73.9,clear sky,56.21,15.276,Hotell Davids Kulle
207,San Quintin,MX,75.97,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
215,Hastings,GB,77.99,few clouds,50.8552,0.5729,Zanzibar Hotel
217,Veraval,IN,80.55,broken clouds,20.9,70.3667,Lords Inn Somnath
220,Faanui,PF,77.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,Lagoa,PT,72.27,scattered clouds,39.05,-27.9833,Casa Das Faias
224,Changping,CN,74.84,clear sky,40.2186,116.2197,Huachang Hotel
226,Les Cayes,HT,88.57,scattered clouds,18.2,-73.75,Villa Orphee
231,Conakry,GN,76.73,light rain,9.538,-13.6773,Riviera Royal Hotel
232,Katobu,ID,74.91,scattered clouds,-4.9408,122.5276,La Ode Husein
234,Kudahuvadhoo,MV,80.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
242,Boke,GN,75.15,light rain,10.9409,-14.2967,Hôtel Rio Nunez - Boké
246,Fort Nelson,CA,74.16,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
247,Harper,LR,76.33,overcast clouds,4.375,-7.7169,Screensaver
252,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
253,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
255,Saint-Georges,GD,83.66,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
259,Dingle,PH,77.29,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
261,Touba,CI,70.59,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
262,Ilhabela,BR,70.2,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
266,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
268,Portland,US,83.46,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
269,Lata,PT,81.7,clear sky,40.1629,-8.3327,Casa Maquia
270,Ericeira,PT,78.8,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
272,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
274,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
276,Coruripe,BR,75.97,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
278,Yining,CN,79.0,overcast clouds,29.0361,114.5636,Xiushui Hotel
280,Brumunddal,NO,76.37,broken clouds,60.881,10.9395,Wood Hotel
281,Gat,IL,82.81,clear sky,31.61,34.7642,OlusHome
284,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
288,Little Current,CA,74.41,overcast clouds,45.9793,-81.9248,Hawberry Motel
290,Upata,VE,81.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
292,Barabai,ID,73.78,clear sky,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
294,Morondava,MG,73.92,clear sky,-20.2833,44.2833,La Case Bambou
297,Kavaratti,IN,81.21,light rain,10.5669,72.642,Green leaf
303,Takab,IR,77.41,clear sky,36.4009,47.1133,نانوایی جواد
304,Grand-Lahou,CI,76.1,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
306,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
307,Yatou,CN,70.18,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
308,Vao,NC,74.03,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
310,Muros,ES,81.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
312,Boyolangu,ID,72.88,broken clouds,-8.1181,111.8935,Yos ega cv
313,Zhanjiang,CN,82.08,scattered clouds,21.2815,110.3427,创业旅店
315,Nagyrede,HU,84.49,clear sky,47.7654,19.8482,Magtár Vendégház
316,Aksu,CN,80.56,clear sky,41.1231,80.2644,Pudong Holiday Hotel
317,Cam Ranh,VN,76.96,light rain,11.9214,109.1591,OYO 598 Peony Hotel
318,Sept-Iles,CA,71.71,scattered clouds,50.2001,-66.3821,Comfort Inn
319,Ust-Tsilma,RU,70.2,broken clouds,65.441,52.1498,U Praskov'i
321,Gela,IT,85.28,scattered clouds,37.0803,14.2307,B&B Santiago
322,Bargteheide,DE,89.89,scattered clouds,53.7333,10.2667,Landhaus Hammoor
323,Kalundborg,DK,77.34,clear sky,55.6795,11.0886,Danhostel Kalundborg
325,Sioux Lookout,CA,71.85,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
326,Key West,US,90.0,light rain,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
327,Norman Wells,CA,72.23,broken clouds,65.282,-126.8329,Heritage Hotel
328,Buchanan,LR,74.91,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
330,Namatanai,PG,78.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
331,Barda,AZ,85.28,clear sky,40.3744,47.1267,Prins Motel Restoran
332,Padang,ID,76.69,broken clouds,-0.9492,100.3543,Mercure Padang
334,Macae,BR,74.23,few clouds,-22.3708,-41.7869,Golden Tulip Macaé
335,Tecoanapa,MX,86.36,scattered clouds,16.5167,-98.75,Hotel Manglares
336,Betong,TH,70.95,overcast clouds,5.7743,101.0723,New Cathay Hotel
337,Methoni,GR,82.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
340,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
341,Labuhan,ID,75.11,broken clouds,-6.8844,112.2051,DoubleFAG
342,Nakusp,CA,78.48,clear sky,50.2499,-117.8023,Riders Retreat
343,Gondanglegi,ID,72.5,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
344,Impfondo,CG,77.95,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
349,Bengkulu,ID,76.68,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
353,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
355,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
356,Mahajanga,MG,75.33,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
358,Hauterive,FR,81.36,few clouds,46.0901,3.4459,Aletti Palace Hotel
359,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
363,Palu,ID,75.13,clear sky,-0.8917,119.8707,Hotel Santika Palu
366,La Rioja,ES,78.58,clear sky,42.25,-2.5,Casa Concejos
368,Dauphin,CA,74.61,scattered clouds,51.1494,-100.0502,Canway Inn & Suites
373,Jaguariaiva,BR,73.06,clear sky,-24.2511,-49.7058,San Juan Jaguariaíva
374,Eldorado,BR,83.8,scattered clouds,-23.7869,-54.2836,Villa Verde Hotel
378,Tabuk,PH,76.17,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
379,Tripoli,LY,82.76,clear sky,32.8752,13.1875,Al Waddan Hotel
380,Samarai,PG,79.88,scattered clouds,-10.6167,150.6667,Nuli Sapi
381,Koungou,YT,74.91,clear sky,-12.7336,45.2042,Villa Netibor
383,Nouna,BF,81.68,overcast clouds,12.7333,-3.8667,Sabunyuma So
384,Kaseda,JP,81.25,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
387,Sinnamary,GF,82.18,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
388,Da Nang,VN,80.58,few clouds,16.0678,108.2208,Grand Mercure Danang
389,Mitsamiouli,KM,76.46,clear sky,-11.3847,43.2844,Foyer ADM
393,Uige,AO,73.18,scattered clouds,-7.6087,15.0613,Hotel Catraio
394,Nandi,IN,79.66,overcast clouds,13.3855,77.6984,Tranquil Stay
396,Ambilobe,MG,70.77,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
397,Katsuura,JP,77.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
403,Hambantota,LK,79.36,overcast clouds,6.1241,81.1185,Bungalow 63
409,Ciudad Bolivar,VE,87.94,overcast clouds,8.1222,-63.5497,Hotel Edi
418,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
419,Lazaro Cardenas,MX,88.75,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
420,Rapu-Rapu,PH,83.84,overcast clouds,13.1866,124.1256,Seaview Dormitel
424,Tura,IN,75.56,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
425,Huancabamba,PE,70.79,scattered clouds,-5.2386,-79.4506,Hospedaje El Dorado
426,Kiunga,PG,72.9,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
428,Baculin,PH,78.39,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
429,Arona,ES,79.7,clear sky,28.0996,-16.681,Paradise Court
436,San Alberto,CO,88.14,scattered clouds,7.7611,-73.3922,Hotel San Alberto Plaza
438,Souris,CA,76.73,clear sky,49.6172,-100.2612,The Souris Hotel
439,Kaputa,ZM,74.07,clear sky,-8.4689,29.6619,Chelelwa Charlets
442,High Level,CA,71.78,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
446,Nizwa,OM,86.13,light rain,22.9333,57.5333,Orient Apartments
447,Nabire,ID,73.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
450,Bentiu,SS,73.92,broken clouds,9.2333,29.8333,Mandela hôtel
451,Yegorlykskaya,RU,74.3,clear sky,46.5656,40.6562,"Gostinitsa ""Galogenovyy Svet"""
454,Narasannapeta,IN,83.98,overcast clouds,18.4167,84.05,AVK events and catering
457,Kuppam,IN,77.86,overcast clouds,12.75,78.3667,Manjunatha Residency Hotel
461,Itarema,BR,83.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
463,Umm Lajj,SA,89.62,clear sky,25.0213,37.2685,Moon light Furnished Units
465,Port Hawkesbury,CA,76.91,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
466,Alofi,NU,75.74,scattered clouds,-19.0595,-169.9187,Taloa Heights
468,Porto Novo,BJ,76.03,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
475,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
477,Zhuhai,CN,85.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
480,Saint-Denis,FR,74.01,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
486,Kloulklubed,PW,82.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
487,Pacific Grove,US,74.21,scattered clouds,36.6177,-121.9166,Lovers Point Inn
492,Ryotsu,JP,71.69,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
494,Mae Hong Son,TH,75.9,moderate rain,19.3003,97.9685,Baiyoke Chalet Hotel
497,Trincomalee,LK,81.54,broken clouds,8.5711,81.2335,Welcombe Hotel
498,Buala,SB,78.4,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
502,Minot,US,84.42,clear sky,48.2325,-101.2963,Noble Inn
507,Gigmoto,PH,81.36,overcast clouds,13.7796,124.39,Cj's Travellers Inn
508,Lalmohan,BD,82.65,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
511,Luganville,VU,78.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
512,Matamoros,MX,89.71,broken clouds,25.5333,-103.25,Quinta Belem
514,Ghazipur,IN,83.97,light rain,25.5833,83.5667,Hotel Shyam
519,Beyneu,KZ,89.22,broken clouds,45.3167,55.2,NUR
521,Vila,PT,80.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
524,Sturgeon Falls,CA,82.62,overcast clouds,46.3646,-79.9326,Lincoln Motel
531,Palompon,PH,80.62,broken clouds,11.0508,124.3843,Claudio A. Chiong Bed & Bath
536,Margate,GB,77.88,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
541,Odweyne,SO,71.82,overcast clouds,9.4092,45.064,Eng Hiirey House
542,Alugan,PH,81.25,broken clouds,12.2188,125.4808,JM Lodge
543,Demba,CD,78.62,scattered clouds,-5.51,22.2667,Guest House Du Cinquantenaire
545,Francisco Sa,BR,84.67,clear sky,-16.4758,-43.4883,Amaralina Hotel
546,Gotsu,JP,73.49,overcast clouds,35.0,132.2167,Yurusato
553,Costinesti,RO,78.04,clear sky,43.95,28.6333,Villa Mar Bella
556,Hailey,US,87.8,few clouds,43.5196,-114.3153,Wood River Inn & Suites
559,Tres Lagoas,BR,89.83,clear sky,-20.7511,-51.6783,Druds Express Hotel
560,Maragogi,BR,77.07,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
564,Tezu,IN,76.35,overcast clouds,27.9167,96.1667,Circuit House
566,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
567,Macheng,CN,75.16,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
568,Catamarca,AR,72.93,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
571,Ambarnath,IN,82.0,scattered clouds,19.2,73.1667,Shree Yash Residency
574,Leova,MD,78.1,few clouds,46.4786,28.2553,Relax
576,Nata,PA,85.87,overcast clouds,8.3333,-80.5167,Rey David
578,Hayden,US,82.78,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
579,Jiwani,PK,82.9,overcast clouds,25.05,61.7417,Hamza hotel jiwani
582,Inirida,CO,86.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
585,Phonhong,LA,77.31,overcast clouds,18.5007,102.4166,Manyvong Guest House
587,Pokhara,NP,72.73,moderate rain,28.2333,83.9833,OYO 170 Hotel View Point
590,Kapit,MY,73.54,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
592,Cabrobo,BR,79.38,overcast clouds,-8.5142,-39.31,Hotel Limarques
593,Nuevitas,CU,87.82,scattered clouds,21.5453,-77.2644,Hotel Caonaba
594,Wuxue,CN,78.24,overcast clouds,29.8506,115.5525,Wuxue Station Hostel
600,Manggar,ID,82.04,scattered clouds,-2.8833,108.2667,Guest Hotel
601,Bubaque,GW,76.3,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
603,Kutum,SD,78.93,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
607,Saint-Francois,FR,74.64,scattered clouds,46.4154,3.9054,Manoir Du Bonheur
610,Lucenec,SK,81.3,clear sky,48.3325,19.6671,Hotel Slovan
614,Fredericton,CA,78.42,clear sky,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
619,Pemba,MZ,74.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
620,Constantine,DZ,83.61,few clouds,36.365,6.6147,Grand Hotel Cirta
621,Ranong,TH,76.1,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
623,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
625,Bay Roberts,CA,72.05,broken clouds,47.5999,-53.2648,Stonewall Inn
629,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
630,Goderich,CA,84.52,overcast clouds,43.7501,-81.7165,Harmony Inn
631,Ribeira Brava,PT,77.72,clear sky,32.65,-17.0667,Hotel do Campo
632,Shingu,JP,75.13,overcast clouds,33.7333,135.9833,Shingu UI Hotel
634,Shediac,CA,85.08,scattered clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
636,Yatsushiro,JP,80.19,overcast clouds,32.5,130.6,Toyoko Inn
637,Volgograd,RU,74.17,clear sky,48.7194,44.5018,Hampton by Hilton Volgograd Profsoyuznaya
640,Outlook,CA,72.23,clear sky,51.5001,-107.0513,Red Wheel Motel
645,Cartagena,CO,89.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
646,Sulangan,PH,83.97,scattered clouds,11.1373,123.7228,Maia's Beach Resort
647,Bonthe,SL,75.13,light rain,7.5264,-12.505,Bonthe Holiday Village
648,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
649,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
657,Maracacume,BR,84.88,scattered clouds,-2.0428,-45.9592,Hotel Ramos
658,Barcelos,PT,88.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
664,Dimbokro,CI,74.26,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
665,High Rock,BS,84.11,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
666,Foso,GH,74.93,broken clouds,5.7012,-1.2866,Pristina Cottage
668,Abuyog,PH,78.21,overcast clouds,10.6667,125.05,NashBliss Apartelle
669,Pemangkat,ID,79.75,few clouds,1.1667,108.9667,Ramah Kost KITA
670,Maceio,BR,76.44,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
671,Biak,ID,75.2,few clouds,-0.9131,122.8766,Penginapan Kim
673,Mahibadhoo,MV,77.43,overcast clouds,3.7833,72.9667,Omadhoo Inn
674,Samandag,TR,82.92,clear sky,36.0842,35.9771,Anadolu Palace Hotel
675,Iaciara,BR,89.44,clear sky,-14.0958,-46.6317,Hotel Matinha
676,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
677,Shimoda,JP,76.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
680,Ronde,DK,86.43,clear sky,56.3014,10.4751,Danhostel Rønde
682,Eydhafushi,MV,80.08,light rain,5.1033,73.0708,Soneva Fushi
685,Poniatowa,PL,76.91,clear sky,51.1798,22.1309,Hotel Słowik
689,Sihora,IN,76.03,heavy intensity rain,23.4833,80.1167,Hotel Yash Raj Sihora
690,Baturaja,ID,73.11,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
